,fr,en
0,Il a transformé notre vie,Changing Lives
1,Il a transformé la société,Changing Society
2,Son fonctionnement,How It Works
3,"La technologie, moteur du changement Accueil",Technology Drives Change Home
4,Concepts,Concepts
5,Enseignants,Teachers
6,Recherche,Search
7,Aperçu,Overview
8,Collaborateurs,Credits
9,Web HHCC,HHCC Web
10,Ressources,Reference
11,Commentaires Musée virtuel du Canada,Feedback Virtual Museum of Canada Home Page
12,Plan du site,Site map
13,Rétroaction,Feedback
14,Crédits,Credits
15,English,Français
16,Qu’est-ce que la lumière?,What is light ?
17,La découverte du spectre de la lumière blanche Des codes dans la lumière Le spectre électromagnétique Les spectres d’émission Les spectres d’absorption Les années-lumière La pollution lumineuse,The white light spectrum Codes in the light The electromagnetic spectrum Emission spectra Absorption spectra Light-years Light pollution
18,Le ciel des premiers habitants La vision contemporaine de l'Univers L’astronomie pour tous,The sky of the first inhabitants A contemporary vison of the Universe Astronomy for everyone
19,Bande dessinée,Cartoon
20,Liens,Links
21,Glossaire,Glossary
22,Observatoires,Observatories
23,Astronomes Introduction Vidéo d'introduction Qu'est-ce que l'astronomie?,Astronomers Introduction Introduction video What is Astronomy?
24,"Souvent considérée comme la plus ancienne des sciences, elle découle de notre étonnement et de nos questionnements envers le ciel L'astronomie est la science qui étudie l'Univers au-delà de l'atmosphère terrestre.","Often considered the oldest science, it was born of our amazement at the sky and our need to question Astronomy is the science of space beyond Earth’s atmosphere."
25,"Son nom vient du grec astron, qui veut dire étoile et nomos, qui veut dire loi.","The name is derived from the Greek root astron for star, and nomos for arrangement or law."
26,"Elle s'intéresse à des objets et des phénomènes tels que les étoiles, les planètes, les comètes, les galaxies et les propriétés de l'Univers à grande échelle.","Astronomy is concerned with celestial objects and phenomena – like stars, planets, comets and galaxies – as well as the large-scale properties of the Universe, also known as ""The Big Picture""."
27,"Plus spécifiquement, elle étudie la formation et l'évolution de l'Univers, détermine les propriétés physiques et chimiques des objets célestes qu'il contient et mesure leurs déplacements.","More specifically, astronomy is the study of the origin and evolution of the Universe, the physics and chemistry of celestial objects, and the calculation of their positions and motions."
28,"Pour la majorité des gens, l'astronomie évoque un monde à la fois mystérieux et grandiose, celui des étoiles et de l'immensité cosmique.","For most people, astronomy represents a world that is both mysterious and grandiose – a story about glimmering celestial objects and the immensity of the cosmos."
29,L'astronomie évoque donc aussi les grandes questions « existentielles » :,It prompts us to ask the deepest existential questions:
30,Où sommes-nous?,Who are we?
31,D'où venons-nous?,Where did we come from?
32,Sommes-nous seuls?,Are we alone?
33,L'attrait exercé par ces énigmes universelles a représenté l'étincelle initiale du parcours de nombreux grands astronomes.,The lure of these universal enigmas was the spark that ignited the passion of many of today’s famous astronomers.
34,"L'astronomie possède également une dimension beaucoup plus pratique et « terre à terre », laquelle est moins apparente aujourd'hui.",Astronomy also plays a much more practical role that is not nearly as important today as it was in the past.
35,"Depuis toujours, nous observons les mouvements du ciel pour nous repérer dans l'espace et le temps.","Since the time of our earliest ancestors, humans have used the motions of celestial objects to position themselves in space and time."
36,"Ainsi, l'homme préhistorique connaît bien la relation existant entre la variation de la durée du jour et le cycle des saisons; il s'en sert pour planifier ses déplacements de chasse et de cueillette.",Prehistoric humans studied the relationship between the seasons and the length of days to plan their hunting and gathering activities.
37,C'est aussi en observant la position des étoiles que les premiers agriculteurs décident du moment des grandes étapes de leur travail et que les navigateurs se repèrent sur les mers.,"It was also by observing the positions of the stars that the first farmers decided when to plant and when to harvest, and early navigators could sail the oceans blue."
38,"Durant l'Antiquité, l'astrométrie, qui est la mesure de la position des étoiles et des planètes, est la principale occupation des astronomes.","In the Age of Antiquity, astrometry – the measurement of the positions of stars and planets – was the main occupation of astronomers."
39,"Pour le public, le travail n'est pas sans intérêt : on croit en effet que la position des objets célestes a un impact sur les évènements qui ont cours sur la Terre.","There was some degree of interest for astronomy from the general public as well, since they believed that the positions of celestial objects influenced events that took place on Earth."
40," Lors de la Renaissance, les progrès en mathématiques réalisés depuis l'Antiquité et l'invention de nouveaux instruments d'observation (comme la lunette astronomique) conduisent à la naissance de l'astronomie moderne."," During the Renaissance, advances in mathematics coupled with the invention of new observational instruments (like the refracting telescope) gave rise to modern astronomy."
41,"À partir de la fin du XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome va aussi mener à l'apparition d'une nouvelle branche de l'astronomie, la plus importante de nos jours : l'astrophysique.","From the 19th century onwards, the discovery of the electromagnetic spectrum and the world of the atom spurred on the development of astrophysics, a new discipline in astronomy that is now considered to be the most important."
42,"Aujourd'hui, l'astronomie comprend plusieurs disciplines dont :","Today, astronomy covers several disciplines:"
43,"◦ L'astrométrie, qui se charge de mesurer la position des étoiles et des planètes (et dont la pratique est aujourd'hui facilitée par l'utilisation des caméras CCD et des ordinateurs)","◦ Astrometry, which is the precise measurement of the position of stars and planets, and which is greatly facilitated by the use of modern CCD cameras and computers"
44,"◦ L'astronomie stellaire, qui étudie l'origine, la formation et l'évolution des étoiles","◦ Stellar astronomy, which is the study of the origins and evolution of stars"
45,"◦ L'astronomie galactique, qui étudie la structure et les composants des galaxies","◦ Galactic astronomy, which studies the structure and components of galaxies"
46,"◦ L'astrophysique, qui étudie la physique de l'Univers et les propriétés physiques de ses constituants (luminosité, température, composition chimique)","◦ Astrophysics, which studies the Universe and the physics of its constituents (luminosity, temperature, chemical composition)"
47,"◦ La cosmologie, qui étudie l'origine et l'évolution de l'Univers dans son ensemble À ces domaines de recherche se rattachent deux disciplines qui sont surtout l'apanage des géologues et des biologistes : les sciences des planètes, qui se chargent de l'étude des astéroïdes, des comètes et des planètes, et l'astrobiologie, qui se charge de l'étude des possibilités de vie dans l'Univers.","◦ Cosmology, which studies the origin and evolution of the Universe as a whole Related to these fields of research are two disciplines that lie more within the domain of geologists and biologists: planetary science, which is the study of asteroids, comets and planets, and astrobiology, which studies the possibility of life in the Universe."
48,"Actuellement, les astronomes professionnels ont tous une formation poussée en astrophysique et leurs observations sont presque toujours étudiées dans un contexte astrophysique.","Nowadays, professional astronomers have a strong background in astrophysics and their observations are almost always examined in an astrophysical context."
49,"Les astronomes amateurs jouent également un rôle important en recherche; les plus sérieux participant couramment au suivi d'étoiles variables, à la découverte de nouveaux astéroïdes et de nouvelles comètes, etc.","The most serious amateurs actively participate in the study of variable stars, the discovery of new asteroids or comets, and other exciting astronomical work."
50,Séquence vidéo  John Richard Bond explique le rôle de l'astronomie.,Video Sequence  John Richard Bond explains what the purpose of astronomy is .
51,© 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic,© 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park
52,Astronomes © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic,Astronomers © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park
53,Astronomes Ligne de temps,Astronomers Timeline
54,Verbatim L'aventure astronomique canadienne,Verbatim A journey into Canadian astronomy
55,"Instruments Les Égyptiens utilisent le transit pour la première fois, environ 2000 ans avant Jésus-Christ.","Instruments The ancient Egyptians use the transit for the first time about 4,000 years ago."
56,Instruments L'astrolabe et l'octant sont les ancêtres du sextant.,Instruments The astrolab and octant are the predecessors of the sextant.
57,"Observatoires Depuis des milliers d'années, les autochtones observent les étoiles pour se repérer dans l'espace et le temps.","Observatories For thousands of years, native people use the stars to navigate and to monitor the passage of time."
58,Ils s'en inspirent aussi pour créer des légendes fabuleuses transmisent de génération en génération.,"Stars are also the inspiration for native legends, which are passed down from generation to generation."
59,Instruments Les Assyriens sont vraisemblablement les premiers à utliser la lentille pour grossir les objets aux environs de 1500 ans avant Jésus-Christ.,"Instruments The Assyrians are likely the first to use lenses to magnify objects, probably around 1,500 BC."
60,"ÉvolutionImages Le peintre flamand Jan van Eyck réalise le dessin le plus ancien connu de la Lune dans son tableau intitulé ""La crucifixion"".","Evolution of images Flemish painter Jan van Eyck makes the first known drawing of the Moon in his painting entitled ""The crucifixion""."
